Monday			
21	535	Efficient Weight Learning in High-Dimensional Untied MLNs	Farabi, Khan Mohammad Al
22	444	Cheap Checking for Cloud Computing: Statistical Analysis via Annotated Data Streams	Hickey, Chris
23	55	On how complexity effects the stability of a predictor	Ratsaby, Joel
24	272	Contextual Bandits with Stochastic Experts	Sen, Rajat
25	74	Online Learning with Non-Convex Losses and Non-Stationary Regret	Li, Xiaobo
26	198	Non-parametric estimation of Jensen-Shannon Divergence in Generative Adversarial Network training	Sinn, Mathieu
27	550	Fast and Scalable Learning of Sparse Changes in High-Dimensional Gaussian Graphical Model Structure	Wang, Beilun
28	80	Zeroth-Order Online Alternating Direction Method of Multipliers: Convergence Analysis and Applications	Liu, Sijia
29	462	Robust Vertex Enumeration for Convex Hulls in High Dimensions	Awasthi, Pranjal
30	549	Turing: Composable inference for probabilistic programming	Ge, Hong
31	510	Combinatorial Penalties: Which structures are preserved by convex relaxations?	El Halabi, Marwa
32	509	Metrics for Deep Generative Models	Chen, Nutan
33	635	Spectral Algorithms for Computing Fair Support Vector Machines	Olfat, Mahbod
34	91	Optimal Submodular Extensions for Marginal Estimation	Pansari, Pankaj
35	42	Iterative Spectral Method for Alternative Clustering	Wu, Chieh
36	391	Differentially Private Regression with Gaussian Processes	Smith, Michael
37	447	Reconstruction Risk of Convolutional Sparse Dictionary Learning	Singh, Shashank
38	342	Learning to Round for Discrete Labeling Problems	Mohapatra, Pritish
39	246	Direct Learning to Rank And Rerank	Rudin, Cynthia
40	451	Linear Stochastic Approximation: Constant Step-Size and Iterate Averaging	Lakshmi-Narayanan, Chandrashekar
41	350	Approximate ranking from pairwise comparisons	Heckel, Reinhard
42	102	Stochastic Multi-armed Bandits in Constant Space	Yang, Ger
43	547	Multi-objective Contextual Bandit Problem with Similarity Information	Tekin, Cem
44	474	Scalable Generalized Dynamic Topic Models	Jähnichen, Patrick
45	22	Growth-Optimal Portfolio Selection under CVaR Constraints	Uziel, Guy
46	332	Statistical Sparse Online Regression: A Diffusion Approximation Perspective	Li, Junchi
47-54	Orals papers in Monday afternoon		
Tuesday Afternoon			
1	166	Group invariance principles for causal generative models	Besserve, Michel
2	97	Learning Priors for Invariance	Nalisnick, Eric
3	185	Catalyst for Gradient-based Nonconvex Optimization	Paquette, Courtney
4	117	Dropout as a Low-Rank Regularizer for Matrix Factorization	Cavazza, Jacopo
5	561	Practical Bayesian optimization in the presence of outliers	Martinez-Cantin, Ruben
6	468	Fast generalization error bound of deep learning from a kernel perspective	Suzuki, Taiji
7	581	Asynchronous Doubly Stochastic Group Regularized Learning	Gu, Bin
8	631	The emergence of spectral universality in deep networks	Pennington, Jeffrey
9	54	Post Selection Inference with Kernels	Yamada, Makoto
10	308	Conditional independence testing based on a nearest-neighbor estimator of conditional mutual information	Runge, Jakob
